MARKET_NAME,ADDRESS,CITY,SEASONS_OF_OPERATION,DAYS_OF_OPERATION,TIME_OF_OPERATION
Apex Farmers Market,220 N Salem Street,Apex,Mid-Apr to Mid-Oct,Saturday,8:30am-12:30pm
Campus Farmers Market at NCSU,2306 Hillsborough street,Raleigh,September-November & Mar-May,Wednesdays,10 am - 3 pm
Cary Downtown Farmer's Market,135 W. Chatham Street,Cary,April thru November,Tuesday & Saturday,"Tuesday 2 pm-6 pm, Saturday 8 am-12:30 pm"
Growers Market of Fuquay-Varina,102 N. Main Street,Fuquay-Varina,May thru October,Saturday & Wednesday,Saturdays from 9 am-2 pm and Wednesdays from 3 pm-6 pm
Holly Spring's Farmer's Market,128 S. Main Street,Fuquay-Varina,May thru 2nd Saturday in October; Winter Market- Select Saturdays November - March 10 - 12pm,Saturday,8:30am-12:30pmWinter Market- Select Saturdays November - March 10 - 12pm
Knightdale Farmer's Market,810 N. First Ave.,Knightdale,May thru 2nd Saturday of October,Saturday,8:00am-12:00pm
Midtown Farmer's Market,4150 Main at North Hills Street,Raleigh,April thru November,Saturday,8:00am-12:00pm
North Raleigh Farmer's Market,1145 Falls River Avenue,Raleigh,"May thru August, september thru April","Wednesday 3 pm-6 pm, Saturday 8 am-noon, May thru August Saturday 9 am-noon, September thru April",Saturday 
Plantation Point Farmer's Market,6250 Plantation Center Drive,Raleigh,Year-round,Saturday,9:00am-2:00pm
Raleigh Downtown Farmer's Market,400 Fayetteville Street (City Plaza),Raleigh,April thru October,Wednesday,10:00am-2:00pm
Rebus Works Market,301 Kinsey Street,Raleigh,Year-round,Saturday,10:00am-1:00pm
State Farmer's Market,1201 Agriculture Street,Raleigh,Year-round,"Sunday, Monday thru Saturday","Sunday 8 am-6 pm, Monday - Saturday 5 am-6 pm"
Wake Forest Farmer's Market,405 Brooks Street,Wake Forest,Year-round,Saturday,"Open every Saturday 8 am-noon, April thru October; every Saturday 10 am-noon, November thru March."
Waverly Place Farmer's Market,2001 Kildaire Farm Rd,Cary,April thru November,Saturday,9:00am-12:00pm
Wendell Farmer's Market,3rd & Cypress Street,Wendell,May thru October,Saturday,8:00am-12:00pm
Western Wake Farmer's Market,101 Gatherin Park Cir,Cary,Year-round,Saturday,"Saturday 8 am - 12 pm, April thru November; Saturday 9:30 am-12 pm, December thru March."
Western Wake Farmer's Market UNC Wellness Center,350 Stonecroft Lane,Cary,Year-round,Saturday,8:00am-12:00pm
Zebulon Farm Fresh Market,1003 N Arendell Ave,Zebulon,May thru October,Saturday,9:00am-1:00pm
